x-axis,FFT
Hertz,dBV
4.09E+04,-33.61
4.10E+04,-39.25
4.11E+04,-30.71
4.11E+04,-36.58
4.12E+04,-25.99
4.13E+04,-37.81
4.13E+04,-43.34
4.14E+04,-41.70
4.14E+04,-28.34
4.15E+04,-37.08
4.16E+04,-28.54
4.16E+04,-25.43
4.17E+04,-35.69
4.18E+04,-31.54
4.18E+04,-35.84
4.19E+04,-34.02
4.19E+04,-42.07
4.20E+04,-33.25
4.21E+04,-31.85
4.21E+04,-36.18
4.22E+04,-51.12
4.23E+04,-28.50
4.23E+04,-36.08
4.24E+04,-33.05
4.24E+04,-35.16
4.25E+04,-56.42
4.26E+04,-36.47
4.26E+04,-35.76
4.27E+04,-35.35
4.28E+04,-41.49
4.28E+04,-33.78
4.29E+04,-42.78
4.29E+04,-31.37
4.30E+04,-42.99
4.31E+04,-34.33
4.31E+04,-29.96
4.32E+04,-27.78
4.33E+04,-31.14
4.33E+04,-41.13
4.34E+04,-32.57
4.34E+04,-30.58
4.35E+04,-38.14
4.36E+04,-35.50
4.36E+04,-43.98
4.37E+04,-39.32
4.38E+04,-38.08
4.38E+04,-42.59
4.39E+04,-43.92
4.39E+04,-36.72
4.40E+04,-36.82
4.41E+04,-42.91
4.41E+04,-42.20
4.42E+04,-38.93
4.43E+04,-40.52
4.43E+04,-39.54
4.44E+04,-35.17
4.44E+04,-38.89
4.45E+04,-41.38
4.46E+04,-36.01
4.46E+04,-30.85
4.47E+04,-33.50
4.48E+04,-35.41
4.48E+04,-30.44
4.49E+04,-46.25
4.49E+04,-26.58
4.50E+04,-30.83
4.51E+04,-31.91
4.51E+04,-40.77
4.52E+04,-35.86
4.53E+04,-29.69
4.53E+04,-34.90
4.54E+04,-36.06
4.54E+04,-37.46
4.55E+04,-39.91
4.56E+04,-31.84
4.56E+04,-35.45
4.57E+04,-36.82
4.58E+04,-41.37
4.58E+04,-35.01
4.59E+04,-44.19
4.59E+04,-33.06
4.60E+04,-34.09
4.61E+04,-33.55
4.61E+04,-36.43
4.62E+04,-46.26
4.63E+04,-31.86
4.63E+04,-37.77
4.64E+04,-38.61
4.64E+04,-33.54
4.65E+04,-33.05
4.66E+04,-33.75
4.66E+04,-40.41
4.67E+04,-39.89
4.68E+04,-38.87
4.68E+04,-46.10
4.69E+04,-46.79
4.69E+04,-40.48
4.70E+04,-37.30
4.71E+04,-35.04
4.71E+04,-32.28
4.72E+04,-42.43
4.73E+04,-36.67
4.73E+04,-35.38
4.74E+04,-44.69
4.74E+04,-35.06
4.75E+04,-35.61
4.76E+04,-41.92
4.76E+04,-47.82
4.77E+04,-41.80
4.78E+04,-34.38
4.78E+04,-44.98
4.79E+04,-36.65
4.79E+04,-39.69
4.80E+04,-33.28
4.81E+04,-34.21
4.81E+04,-29.41
4.82E+04,-51.01
4.83E+04,-35.43
4.83E+04,-28.50
4.84E+04,-35.15
4.84E+04,-34.87
4.85E+04,-37.60
4.86E+04,-38.90
4.86E+04,-38.30
4.87E+04,-36.91
4.88E+04,-36.03
4.88E+04,-40.07
4.89E+04,-48.68
4.89E+04,-39.06
4.90E+04,-36.03
4.91E+04,-38.47
4.91E+04,-33.75
4.92E+04,-37.96
4.93E+04,-29.15
4.93E+04,-41.25
4.94E+04,-31.28
4.94E+04,-38.48
4.95E+04,-30.55
4.96E+04,-31.75
4.96E+04,-40.57
4.97E+04,-35.32
4.98E+04,-33.82
4.98E+04,-43.79
4.99E+04,-34.16
4.99E+04,-28.05
5.00E+04,-31.23
5.01E+04,-30.39
5.01E+04,-29.71
5.02E+04,-26.50
5.03E+04,-32.39
5.03E+04,-30.76
5.04E+04,-36.08
5.04E+04,-29.18
5.05E+04,-47.53
5.06E+04,-39.48
5.06E+04,-33.62
5.07E+04,-37.81
5.08E+04,-31.80
5.08E+04,-35.68
5.09E+04,-37.25
5.09E+04,-27.66
5.10E+04,-38.27
5.11E+04,-35.52
5.11E+04,-33.59
5.12E+04,-35.86
5.13E+04,-39.13
5.13E+04,-41.74
5.14E+04,-40.04
5.14E+04,-45.67
5.15E+04,-33.95
5.16E+04,-38.48
5.16E+04,-39.28
5.17E+04,-36.11
5.18E+04,-30.59
5.18E+04,-42.96
5.19E+04,-33.86
5.19E+04,-29.76
5.20E+04,-33.08
5.21E+04,-39.81
5.21E+04,-47.77
5.22E+04,-36.95
5.23E+04,-32.82
5.23E+04,-36.19
5.24E+04,-42.09
5.24E+04,-40.76
5.25E+04,-30.99
5.26E+04,-38.33
5.26E+04,-40.43
5.27E+04,-37.96
5.28E+04,-42.36
5.28E+04,-35.09
5.29E+04,-34.41
5.29E+04,-34.42
5.30E+04,-30.32
5.31E+04,-36.07
5.31E+04,-37.75
5.32E+04,-34.28
5.33E+04,-32.42
5.33E+04,-39.59
5.34E+04,-59.21
5.34E+04,-37.71
5.35E+04,-33.85
5.36E+04,-32.07
5.36E+04,-32.76
5.37E+04,-31.05
5.38E+04,-43.58
5.38E+04,-38.01
5.39E+04,-44.55
5.39E+04,-26.06
5.40E+04,-47.27
5.41E+04,-33.40
5.41E+04,-34.63
5.42E+04,-38.22
5.43E+04,-32.44
5.43E+04,-36.27
5.44E+04,-36.03
5.44E+04,-37.83
5.45E+04,-42.31
5.46E+04,-35.04
5.46E+04,-41.58
5.47E+04,-34.27
5.48E+04,-42.74
5.48E+04,-39.98
5.49E+04,-34.99
5.49E+04,-35.04
5.50E+04,-35.64
5.51E+04,-36.01
5.51E+04,-35.20
5.52E+04,-56.58
5.53E+04,-31.90
5.53E+04,-36.04
5.54E+04,-36.41
5.54E+04,-30.95
5.55E+04,-42.75
5.56E+04,-30.49
5.56E+04,-38.73
5.57E+04,-38.89
5.58E+04,-30.78
5.58E+04,-36.20
5.59E+04,-32.45
5.59E+04,-36.02
5.60E+04,-33.84
5.61E+04,-36.21
5.61E+04,-35.18
5.62E+04,-36.66
5.63E+04,-38.14
5.63E+04,-31.26
5.64E+04,-35.57
5.64E+04,-34.84
5.65E+04,-50.25
5.66E+04,-36.08
5.66E+04,-41.71
5.67E+04,-33.19
5.68E+04,-37.20
5.68E+04,-35.64
5.69E+04,-41.90
5.69E+04,-36.03
5.70E+04,-42.95
5.71E+04,-31.93
5.71E+04,-42.59
5.72E+04,-40.25
5.73E+04,-41.00
5.73E+04,-39.44
5.74E+04,-41.79
5.74E+04,-36.98
5.75E+04,-42.34
5.76E+04,-45.74
5.76E+04,-32.45
5.77E+04,-38.66
5.78E+04,-38.52
5.78E+04,-35.83
5.79E+04,-36.17
5.79E+04,-34.55
5.80E+04,-30.59
5.81E+04,-40.07
5.81E+04,-27.88
5.82E+04,-31.92
5.83E+04,-36.02
5.83E+04,-26.35
5.84E+04,-39.97
5.84E+04,-37.37
5.85E+04,-28.67
5.86E+04,-34.53
5.86E+04,-37.48
5.87E+04,-62.46
5.88E+04,-38.80
5.88E+04,-34.37
5.89E+04,-41.67
5.89E+04,-42.75
5.90E+04,-36.50
5.91E+04,-38.07
5.91E+04,-33.60
5.92E+04,-35.85
5.93E+04,-41.28
5.93E+04,-38.61
5.94E+04,-37.06
5.94E+04,-37.44
5.95E+04,-36.94
5.96E+04,-44.88
5.96E+04,-37.55
5.97E+04,-32.74
5.98E+04,-38.23
5.98E+04,-33.53
5.99E+04,-34.32
5.99E+04,-45.65
6.00E+04,-39.93
6.01E+04,-29.65
6.01E+04,-38.60
6.02E+04,-31.91
6.03E+04,-38.90
6.03E+04,-26.98
6.04E+04,-39.50
6.04E+04,-29.72
6.05E+04,-42.20
6.06E+04,-41.05
6.06E+04,-34.75
6.07E+04,-44.56
6.08E+04,-40.34
6.08E+04,-36.21
6.09E+04,-43.93
6.09E+04,-40.10
6.10E+04,-35.28
6.11E+04,-49.76
6.11E+04,-37.16
6.12E+04,-45.99
6.13E+04,-34.94
6.13E+04,-39.60
6.14E+04,-38.86
6.14E+04,-34.44
6.15E+04,-28.50
6.16E+04,-34.68
6.16E+04,-38.96
6.17E+04,-38.83
6.18E+04,-37.52
6.18E+04,-39.76
6.19E+04,-41.78
6.19E+04,-28.76
6.20E+04,-37.19
6.21E+04,-34.61
6.21E+04,-37.38
6.22E+04,-33.34
6.23E+04,-41.73
6.23E+04,-33.53
6.24E+04,-41.88
6.24E+04,-31.20
6.25E+04,-35.54
6.26E+04,-35.63
6.26E+04,-38.45
6.27E+04,-46.49
6.28E+04,-38.37
6.28E+04,-43.30
6.29E+04,-39.79
6.29E+04,-35.23
6.30E+04,-42.30
6.31E+04,-36.71
6.31E+04,-43.32
6.32E+04,-41.45
6.33E+04,-43.74
6.33E+04,-38.36
6.34E+04,-43.36
6.34E+04,-45.08
6.35E+04,-43.54
6.36E+04,-29.32
6.36E+04,-34.16
6.37E+04,-39.00
6.38E+04,-37.85
6.38E+04,-42.63
6.39E+04,-39.23
6.39E+04,-31.92
6.40E+04,-36.80
6.41E+04,-41.64
6.41E+04,-44.87
6.42E+04,-30.21
6.43E+04,-39.04
6.43E+04,-36.98
6.44E+04,-35.31
6.44E+04,-35.09
6.45E+04,-36.73
6.46E+04,-34.91
6.46E+04,-38.17
6.47E+04,-33.31
6.48E+04,-36.55
6.48E+04,-42.64
6.49E+04,-37.54
6.49E+04,-40.66
6.50E+04,-36.71
6.51E+04,-40.66
6.51E+04,-32.02
6.52E+04,-42.88
6.53E+04,-34.50
6.53E+04,-33.36
6.54E+04,-41.64
6.54E+04,-34.60
6.55E+04,-48.39
6.56E+04,-37.01
6.56E+04,-35.57
6.57E+04,-37.74
6.58E+04,-38.36
6.58E+04,-35.36
6.59E+04,-40.25
6.59E+04,-40.69
6.60E+04,-48.85
6.61E+04,-35.29
6.61E+04,-40.15
6.62E+04,-38.09
6.63E+04,-39.16
6.63E+04,-33.09
6.64E+04,-47.59
6.64E+04,-29.32
6.65E+04,-36.49
6.66E+04,-33.51
6.66E+04,-38.00
6.67E+04,-33.46
6.68E+04,-42.66
6.68E+04,-33.99
6.69E+04,-43.65
6.69E+04,-41.20
6.70E+04,-44.40
6.71E+04,-36.60
6.71E+04,-37.04
6.72E+04,-43.62
6.73E+04,-31.79
6.73E+04,-44.14
6.74E+04,-37.01
6.74E+04,-28.65
6.75E+04,-35.04
6.76E+04,-29.45
6.76E+04,-36.95
6.77E+04,-43.09
6.78E+04,-39.49
6.78E+04,-32.76
6.79E+04,-31.20
6.79E+04,-34.15
6.80E+04,-33.99
6.81E+04,-31.81
6.81E+04,-40.94
6.82E+04,-33.50
6.83E+04,-43.93
6.83E+04,-44.49
6.84E+04,-34.30
6.84E+04,-35.67
6.85E+04,-39.20
6.86E+04,-33.97
6.86E+04,-36.98
6.87E+04,-47.82
6.88E+04,-44.41
6.88E+04,-35.80
6.89E+04,-38.42
6.89E+04,-36.23
6.90E+04,-38.19
6.91E+04,-43.94
6.91E+04,-37.12
6.92E+04,-35.33
6.93E+04,-38.23
6.93E+04,-37.81
6.94E+04,-35.65
6.94E+04,-44.37
6.95E+04,-37.40
6.96E+04,-32.59
6.96E+04,-29.08
6.97E+04,-38.26
6.98E+04,-33.33
6.98E+04,-41.40
6.99E+04,-31.00
6.99E+04,-31.43
7.00E+04,-38.39
7.01E+04,-22.26
7.01E+04,-35.75
7.02E+04,-25.49
7.03E+04,-35.24
7.03E+04,-31.84
7.04E+04,-31.49
7.04E+04,-28.47
7.05E+04,-28.41
7.06E+04,-38.68
7.06E+04,-44.11
7.07E+04,-42.72
7.08E+04,-33.30
7.08E+04,-35.60
7.09E+04,-35.11
7.09E+04,-33.83
7.10E+04,-46.27
7.11E+04,-44.43
7.11E+04,-35.18
7.12E+04,-38.88
7.13E+04,-42.06
7.13E+04,-35.05
7.14E+04,-32.54
7.14E+04,-32.72
7.15E+04,-27.40
7.16E+04,-40.58
7.16E+04,-25.84
7.17E+04,-40.36
7.18E+04,-36.82
7.18E+04,-39.53
7.19E+04,-34.16
7.19E+04,-38.37
7.20E+04,-36.70
7.21E+04,-26.40
7.21E+04,-34.79
7.22E+04,-31.55
7.23E+04,-37.06
7.23E+04,-44.88
7.24E+04,-45.88
7.24E+04,-42.62
